BFP,SVM,KNN,ADAB,RF,LGB,XGB,DT,LOGR,class
0.336077,0.45213010011333765,0.6961503308754874,0.8829005366280778,0.6,0.6746804188412587,0.699381,1.0,0.1545580665044069,0.0
0.318837,0.4945494519973039,0.266022993656978,0.25008417825563517,0.36666666666666664,0.29653857465961264,0.19464144,0.0,0.4613103508979581,0.0
0.688028,0.9231609466538733,0.8999103560400232,0.9939332997797242,0.8666666666666667,0.4259233777274236,0.9376944,0.0,0.5079230097348183,1.0
0.997984,0.5839451320774365,0.7028724703797012,0.9923061699904479,0.75,0.6746804188412587,0.9106744,1.0,0.999912652002213,1.0
0.24775,0.19773176730855843,0.42159665675785485,0.005160897894228132,0.16068813608358826,0.3124060845834813,0.09725262,0.0,0.2522551202977432,0.0
0.186096,0.07156550714336864,0.2704297165730865,0.000549973620911087,0.0641052814328173,0.3124060845834813,0.09725262,0.0,0.07643813552911545,0.0
0.311964,0.06386470490774597,0.40736560534844873,0.04617487163397809,0.24793740144241247,0.4473514094228721,0.19003704,0.2,0.4065840723281517,1.0
0.893065,0.6495441082944344,0.5418608824085533,0.9939171972479648,0.7805483496164998,0.6719845776206986,0.88412917,0.7,0.9280801936167099,1.0
0.508518,0.7468108898459287,0.730125826683045,0.8255984947665165,0.539683587608044,0.7323669695087215,0.21081242,0.0,0.5565339924584862,0.0
0.92414,0.7295500892108799,0.8372780385617519,0.976802632115468,0.8020286178797049,0.8730352359341124,0.6679624,1.0,0.993009437665525,0.0
0.755175,0.8343294401060295,0.8052024599605971,0.9989072284057425,0.92483399306008,0.8730352359341124,0.9872837,1.0,0.9565326057392474,1.0
0.942118,0.7829146563125728,0.7656671042980641,0.8689613325380466,0.7384011481272351,0.8730352359341124,0.6675924,1.0,0.9999472696568366,1.0
0.271339,0.3001860005775886,0.3519408806142509,0.06588289794902129,0.41099184033526326,0.21288662359778862,0.30093125,0.11764705882352941,0.37045745639395516,0.0
0.205386,0.027868398499327048,0.22321179566920044,0.002089566701677632,0.23100975290921202,0.2855589695434715,0.12529516,0.11764705882352941,0.3264634940742453,0.0
0.595868,0.8739193179839154,0.7785727979894437,0.9966651768610651,0.7180144060304577,0.8068597814304914,0.94643176,0.9090909090909091,0.5958745812355928,1.0
