BFP,SVM,KNN,ADAB,RF,LGB,XGB,DT,LOGR,class
0.264992,0.08008936824177415,0.4907999431640514,0.4680693836708314,0.275,0.5139177645683686,0.010888658,0.08695652173913043,0.11410106966025049,0.0
0.996894,0.9826586817197674,0.9282942927056653,0.6644791193612097,0.915,0.6951641515447952,0.9067031,1.0,0.9896809518305675,1.0
0.986976,0.9967588037634151,0.818329026295672,0.7581680564951441,0.89,0.6951641515447952,0.9067031,1.0,0.9925097483547621,1.0
0.097612,0.12290050168253153,0.1549340617000305,0.055089708893260016,0.06666666666666667,0.2729329621520068,0.057836667,0.0,0.01870664427369355,0.0
0.101507,0.07572667746349024,0.1463786006675952,0.2535821329008955,0.10673076923076924,0.2729329621520068,0.08369043,0.25,0.01946859144651437,0.0
0.874618,0.9188578380549696,0.5861314545409352,0.18605630274154947,0.7333333333333333,0.5076091317182208,0.825143,1.0,0.9216984557542568,1.0
0.136995,0.6221451841248021,0.34512166335350636,0.055089708893260016,0.4666666666666667,0.5755313378654097,0.19192961,0.5714285714285714,0.5737186157370237,1.0
0.151428,0.3858268800566668,0.16113030955780025,0.3169922610017414,0.286961486789073,0.5342476009657524,0.047754213,0.0,0.178173857690044,0.0
0.158511,0.5481146121617237,0.23700469729452248,0.4390941771554094,0.44898702164069487,0.5342476009657524,0.032446958,0.0,0.7998385232950428,0.0
0.388978,0.7002162301226582,0.589773641788897,0.5418903579739823,0.7324376772652634,0.6907879557661797,0.96885747,0.5,0.6105789006534786,1.0
0.255071,0.5419170219482801,0.5194323543625405,0.6376576084650358,0.5198657886064183,0.6907879557661797,0.9342045,0.5,0.7072673854017886,1.0
0.200777,0.4230814732508471,0.39389308878627366,0.22314580059544412,0.27911962057550294,0.27160135323271195,0.32850003,1.0,0.22393849251770565,0.0
0.129736,0.23671625433323815,0.0,0.2069081660478836,0.42045295390883625,0.46420721751948624,0.097756565,0.0,0.019559743466855645,0.0
0.479752,0.8223945508962789,0.7985675251951374,0.6213898049490322,0.6949783549783549,0.6685819043156701,0.8381003,1.0,0.9218757442340805,1.0
0.472564,0.8061975807647509,0.6522947995327092,0.5109063630964872,0.4910768398268398,0.6685819043156701,0.5032448,0.0,0.7446143109438884,1.0
0.139951,0.3477520797405344,0.16176956037173704,0.3090804609179856,0.03741161706847981,0.2863418837374156,0.07825037,0.0,0.27718006258433997,0.0
0.123102,0.3635233276248503,0.2949504063594582,0.3975210961143378,0.08258507106546321,0.2863418837374156,0.2291034,0.0,0.2354027592616435,0.0
0.904263,0.7956420794410666,0.9158837490825926,0.7774520112269536,0.9636243386243386,0.6645677460139136,0.87182266,1.0,0.8546876725185069,1.0
0.997998,0.7113341956470771,0.9151248064887232,0.6989380626124422,0.9358465608465608,0.6645677460139136,0.87182266,1.0,0.8701266787671053,1.0
